equipe1;equipe2;but1;but2;vict1;null;vict2
Nîmes;Brest;4;0;2.25;3.35;3.35
Monaco;Reims;2;2;1.91;3.55;4.35
Lille;Rennes;1;1;2.2;3.25;3.65
Dijon;AngersSCO;0;1;3.3;3.1;2.4
Bordeaux;Nantes;0;0;2.5;3.0;3.3
Reims;Nice;2;3;4.1;3.7;1.87
PSG;Metz;5;0;1.16;8.3;14.0
Nantes;Saint-Étienne;1;1;2.63;3.6;2.54
OlympiqueMarseille;Strasbourg;4;0;2.19;3.55;3.2
Lorient;Troyes;1;1;2.18;3.5;3.3
Lille;Rennes;2;2;3.95;4.05;1.82
Lens;Monaco;2;2;3.1;3.85;2.14
Clermont;OlympiqueLyonnais;1;2;3.75;4.05;1.87
Brest;Bordeaux;2;4;2.0;4.0;3.35
AngersSCO;Montpellier;2;0;2.04;3.75;3.4
Montpellier;PSG;0;4;7.0;5.75;1.36
Bordeaux;Lorient;0;0;2.35;3.5;2.87
OlympiqueLyonnais;Nantes;3;2;1.35;5.5;8.0
Metz;AngersSCO;1;0;2.8;3.25;2.5
Monaco;Brest;4;2;1.27;6.25;9.75
Nice;Lille;1;3;1.87;3.8;3.8
Troyes;Lens;1;3;3.1;3.5;2.2
Rennes;OlympiqueMarseille;2;0;2.1;3.7;3.2
Saint-Étienne;Reims;1;2;2.1;3.5;3.3
Strasbourg;Clermont;1;0;1.46;4.6;6.5
Nantes;Rennes;2;1;4.5;3.9;1.7
Nice;Saint-Étienne;4;2;1.55;4.1;5.0
PSG;Troyes;2;2;1.16;7.75;17.0
Lorient;OlympiqueMarseille;0;3;3.88;3.88;2.0
Reims;Lens;1;2;2.94;3.44;2.59
Clermont;Montpellier;2;1;2.21;3.74;3.36
AngersSCO;Bordeaux;4;1;2.04;3.72;3.9
Metz;OlympiqueLyonnais;3;2;5.95;4.5;1.6
Brest;Strasbourg;0;1;3.65;3.5;2.0
Lille;Monaco;1;2;3.26;3.11;2.09
OlympiqueMarseille;OlympiqueLyonnais;0;3;2.19;3.5;3.25
Bordeaux;Nice;0;1;4.1;3.65;1.88
Monaco;AngersSCO;2;0;1.4;4.6;8.0
Brest;Clermont;2;0;2.2;3.4;3.3
Lorient;Reims;1;2;2.25;3.1;3.4
Montpellier;Metz;2;2;1.75;3.6;4.75
Troyes;Lille;3;0;3.8;3.3;2.05
Rennes;Saint-Étienne;2;0;1.33;5.58;9.67
Lens;Nantes;2;2;1.88;3.82;4.48
Strasbourg;PSG;3;3;4.3;4.0;1.76
Reims;OlympiqueMarseille;0;1;3.54;3.48;2.14
Lille;Strasbourg;1;0;2.17;3.52;3.68
Nantes;Bordeaux;5;3;1.75;3.85;4.5
Clermont;AngersSCO;2;2;2.25;3.3;3.3
Metz;Brest;0;1;3.05;3.25;2.41
Nice;Troyes;1;0;1.61;4.0;5.6
Rennes;Lorient;5;0;1.47;4.6;6.6
PSG;Lens;1;1;1.3;5.5;10.0
Saint-Étienne;Monaco;1;4;4.4;3.6;1.8
OlympiqueLyonnais;Montpellier;5;2;1.33;5.0;9.0
Lens;Montpellier;2;0;1.82;3.65;4.4
Strasbourg;Rennes;2;1;2.6;3.4;2.65
Brest;OlympiqueLyonnais;2;1;4.1;3.85;1.84
AngersSCO;PSG;0;3;7.2;5.0;1.41
OlympiqueMarseille;Nantes;3;2;1.58;4.2;5.6
Bordeaux;Saint-Étienne;2;2;2.36;3.45;2.95
Monaco;Nice;1;0;1.83;3.8;4.1
Lorient;Metz;1;0;1.84;3.65;4.3
Troyes;Clermont;0;1;2.43;3.25;3.0
Reims;Lille;2;1;3.1;3.25;2.38
PSG;OlympiqueMarseille;2;1;1.38;5.4;7.0
OlympiqueLyonnais;Bordeaux;6;1;1.29;5.5;9.5
Nantes;AngersSCO;1;1;1.91;3.4;4.0
Troyes;Strasbourg;1;1;3.75;3.4;2.0
Metz;Clermont;1;1;2.63;3.3;2.6
Montpellier;Reims;0;0;2.25;3.1;3.4
Nice;Lorient;2;1;1.58;4.38;6.06
Lille;Lens;1;2;1.75;3.2;4.1
Saint-Étienne;Brest;2;1;2.05;3.1;3.15
Rennes;Monaco;2;3;2.15;3.5;3.4
OlympiqueMarseille;Montpellier;2;0;1.52;4.5;5.8
Strasbourg;OlympiqueLyonnais;1;1;2.4;3.3;2.9
Lens;Nice;3;0;2.3;3.3;3.1
Brest;Nantes;1;1;2.6;3.13;2.8
AngersSCO;Lille;1;1;3.4;3.1;2.25
Monaco;Troyes;2;1;1.33;4.8;9.5
Bordeaux;Metz;3;1;1.9;3.3;4.33
Clermont;PSG;1;6;7.8;5.55;1.41
Reims;Rennes;2;3;4.06;3.72;2.0
